1
1578 29566
1 715 66
2 8 81
3 146 78
4 513 27
5 176 36
6 760 21
7 641 42
8 984 12
9 1252 54
10 346 9
11 977 18
12 1221 63
13 1262 42
14 778 45
15 880 54
16 499 33
17 1415 84
18 38 48
19 151 39
20 1004 69
21 23 3
22 1256 84
23 1443 30
24 940 51
25 1242 48
26 896 9
27 1320 30
28 361 12
29 1251 75
30 122 33
31 527 6
32 352 45
33 269 75
34 593 72
35 686 12
36 681 30
37 1056 33
38 434 6
39 774 66
40 79 69
41 555 6
42 1100 69
43 44 75
44 175 24
45 40 60
46 1424 3
47 1272 6
48 69 78
49 1467 21
50 1052 33
51 1023 27
52 807 27
53 740 21
54 1518 51
55 556 81
56 626 9
57 684 42
58 682 69
59 425 48
60 227 63
61 241 21
62 579 6
63 274 51
64 907 78
65 511 72
66 940 18
67 965 39
68 437 69
69 484 36
70 833 30
71 463 42
72 849 54
73 1265 54
74 1261 33
75 1363 57
76 1196 81
77 651 48
78 799 24
79 645 12
80 1235 57
81 5 15
82 1327 24
83 1356 54
84 266 42
85 734 45
86 102 57
87 695 39
88 1166 27
89 286 12
90 754 9
91 1050 54
92 1349 6
93 547 54
94 909 30
95 18 81
96 707 24
97 45 45
98 271 36
99 447 30
100 836 36
101 1347 69
102 329 66
103 1089 6
104 64 36
105 738 6
106 722 24
107 1401 69
108 345 45
109 1435 54
110 905 54
111 1498 6
112 758 3
113 274 57
114 159 81
115 348 12
116 617 45
117 1217 78
118 21 69
119 1532 18
120 1508 39
121 636 78
122 1220 60
123 805 33
124 1237 30
125 1346 45
126 1439 45
127 1030 18
128 1431 15
129 1092 24
130 1221 78
131 1533 21
132 1468 33
133 194 9
134 1329 30
135 1237 6
136 1109 51
137 1045 3
138 1040 6
139 1000 75
140 638 42
141 511 33
142 700 36
143 1372 60
144 1285 27
145 867 78
146 1185 48
147 270 72
148 1461 39
149 328 36
150 54 57
151 458 9
152 1195 42
153 7 21
154 179 12
155 402 24
156 1232 30
157 146 54
158 691 21
159 381 6
160 1544 63
161 366 57
162 1462 9
163 48 15
164 988 39
165 53 12
166 1277 6
167 121 48
168 443 12
169 1461 48
170 529 60
171 606 66
172 813 24
173 1437 15
174 1428 45
175 706 63
176 675 84
177 151 9
178 1131 81
179 1418 84
180 1527 15
181 207 18
182 1018 84
183 614 66
184 783 48
185 1557 81
186 246 45
187 1430 75
188 1215 78
189 550 84
190 119 36
191 1266 60
192 14 39
193 846 18
194 442 33
195 1070 81
196 565 51
197 150 33
198 520 45
199 242 60
200 523 15
201 1210 6
202 1504 48
203 1508 84
204 281 45
205 894 15
206 949 69
207 957 45
208 1128 15
209 669 57
210 1574 75
211 369 36
212 1067 36
213 883 54
214 142 57
215 829 66
216 1535 45
217 712 66
218 171 78
219 345 15
220 127 78
221 1028 66
222 276 66
223 134 66
224 354 42
225 67 6
226 1221 6
227 1075 57
228 292 57
229 384 63
230 1069 24
231 333 66
232 937 51
233 665 36
234 1351 36
235 1305 69
236 1385 66
237 720 81
238 26 69
239 57 42
240 1431 27
241 1235 15
242 542 48
243 436 30
244 1317 51
245 580 60
246 750 66
247 435 72
248 679 3
249 1388 33
250 1471 30
251 1243 66
252 866 54
253 1063 27
254 726 75
255 938 60
256 774 39
257 1008 9
258 1527 63
259 545 75
260 1479 81
261 1361 30
262 1381 81
263 869 9
264 843 69
265 318 27
266 1287 78
267 839 45
268 1029 39
269 1541 63
270 435 42
271 1212 6
272 315 57
273 476 12
274 540 42
275 562 63
276 299 9
277 1523 30
278 212 18
279 321 57
280 469 48
281 449 42
282 666 21
283 99 39
284 36 6
285 1185 81
286 1230 39
287 1259 57
288 1148 15
289 1515 66
290 271 51
291 382 84
292 1542 33
293 473 3
294 790 84
295 1030 33
296 1097 51
297 1164 51
298 1064 54
299 522 12
300 118 27
301 293 6
302 602 63
303 1397 6
304 376 78
305 986 84
306 43 66
307 737 31
308 1479 51
309 668 45
310 273 39
311 300 75
312 470 63
313 713 12
314 371 48
315 1490 6
316 336 3
317 1358 81
318 1187 81
319 930 48
320 614 51
321 928 33
322 739 6
323 757 42
324 829 48
325 1513 60
326 911 75
327 363 12
328 1338 6
329 1324 84
330 1112 27
331 409 66
332 1561 69
333 1547 81
334 1205 84
335 655 6
336 486 69
337 1217 30
338 322 15
339 861 27
340 372 39
341 551 75
342 873 6
343 1538 39
344 876 78
345 1274 36
346 1566 30
347 293 66
348 1217 6
349 222 72
350 1485 6
351 1001 21
352 936 45
353 421 45
354 744 36
355 1134 81
356 565 54
357 882 33
358 1389 36
359 1517 39
360 333 30
361 1516 84
362 532 42
363 1563 66
364 1385 3
365 519 24
366 19 24
367 81 18
368 700 12
369 1567 24
370 809 81
371 443 48
372 1372 69
373 1145 9
374 1357 27
375 753 45
376 805 81
377 801 78
378 827 9
379 944 57
380 19 66
381 78 72
382 872 51
383 207 45
384 324 69
385 262 54
386 691 33
387 275 81
388 1 57
389 1105 27
390 200 51
391 570 66
392 602 72
393 449 45
394 711 66
395 89 21
396 1372 33
397 823 51
398 569 9
399 1438 30
400 852 6
401 318 84
402 715 45
403 175 45
404 922 48
405 249 51
406 1495 6
407 1448 33
408 728 33
409 1405 66
410 1194 42
411 487 21
412 1105 78
413 698 57
414 1198 33
415 1036 66
416 231 12
417 527 12
418 1104 21
419 355 9
420 1457 36
421 1323 57
422 6 33
423 929 45
424 737 9
425 1037 48
426 925 84
427 1000 51
428 396 75
429 182 39
430 941 54
431 773 57
432 686 75
433 268 18
434 94 3
435 353 6
436 1079 81
437 173 30
438 661 27
439 618 81
440 1235 60
441 657 6
442 1473 6
443 851 66
444 853 27
445 914 9
446 249 9
447 474 30
448 1544 42
449 556 72
450 668 12
451 1200 57
452 688 84
453 1491 9
454 1154 6
455 1072 69
456 722 51
457 1095 42
458 20 54
459 678 18
460 1196 81
461 660 78
462 404 15
463 1117 75
464 823 60
465 627 6
466 183 24
467 401 60
468 176 48
469 1116 18
470 175 24
471 1212 60
472 397 45
473 809 78
474 1065 81
475 1480 21
476 1396 60
477 605 9
478 837 75
479 188 57
480 22 48
481 872 72
482 495 72
483 1040 63
484 1454 24
485 269 30
486 437 21
487 320 12
488 1379 15
489 826 12
490 1528 39
491 701 33
492 902 45
493 291 27
494 1470 3
495 407 6
496 1182 42
497 554 30
498 448 39
499 1096 12
500 1198 63
501 1132 72
502 62 72
503 332 75
504 1000 27
505 1040 81
506 1283 72
507 154 39
508 74 45
509 1037 39
510 267 57
511 1313 15
512 978 33
513 198 69
514 91 30
515 522 36
516 158 27
517 493 15
518 262 33
519 897 9
520 632 6
521 722 21
522 520 6
523 298 18
524 1461 84
525 1450 48
526 1348 39
527 576 69
528 1082 9
529 1149 30
530 1028 3
531 142 33
532 758 66
533 697 72
534 1501 9
535 616 21
536 51 3
537 1372 12
538 600 21
539 743 45
540 458 78
541 1127 15
542 219 18
543 920 24
544 788 51
545 325 33
546 1049 30
547 1481 48
548 532 3
549 1100 84
550 1401 6
551 234 48
552 401 15
553 539 45
554 217 78
555 1494 33
556 1271 27
557 111 33
558 1282 51
559 659 24
560 131 81
561 473 69
562 568 81
563 823 42
564 573 42
565 95 57
566 198 81
567 128 12
568 613 72
569 1465 69
570 810 39
571 99 69
572 816 6
573 1320 84
574 262 45
575 931 39
576 543 27
577 904 63
578 305 33
579 789 39
580 1345 36
581 840 18
582 703 78
583 278 81
584 670 78
585 1216 6
586 1185 75
587 535 51
588 1492 18
589 1496 48
590 541 6
591 699 42
592 529 39
593 1064 6
594 956 30
595 1465 63
596 725 6
597 453 21
598 1481 30
599 1025 6
600 1301 48
601 1482 24
602 1144 27
603 824 36
604 293 81
605 86 66
606 944 78
607 477 6
608 224 84
609 1219 51
610 1230 24
611 1379 54
612 1315 9
613 540 69
614 208 12
615 146 9
616 682 3
617 1411 78
618 980 60
619 63 72
620 1139 15
621 311 3
622 58 48
623 42 12
624 1233 72
625 502 66
626 356 84
627 304 6
628 1381 12
629 1574 54
630 1537 51
631 890 72
632 1063 57
633 942 57
634 97 78
635 1038 54
636 966 42
637 66 30
638 1353 57
639 212 63
640 271 34
641 751 18
642 1071 78
643 1221 78
644 1548 51
645 218 27
646 404 42
647 1027 54
648 868 60
649 795 30
650 819 69
651 920 60
652 444 15
653 850 60
654 30 60
655 621 33
656 634 48
657 368 75
658 967 6
659 1360 24
660 53 6
661 1087 30
662 1404 42
663 612 54
664 710 51
665 1276 18
